facility_name,reg_no,facility_type,level,county,status
OCHII DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
OCHUDE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
OCHUKAR MEDICAL CENTRE,014xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
OCHUORE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,VIHIGA,ACTIVE
ODASO HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
ODDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MARSABIT,ACTIVE
ODENGERO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
ODHA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TANA RIVER,ACTIVE
ODHA DISPENSARY -MANDERA,GK-xxx,DISPENSARY,LEVEL 2,MANDERA,ACTIVE
ODICARE MEDICAL CLINIC,014xxx,MEDICAL CLINIC,LEVEL 2,EMBU,ACTIVE
ODIDA MUSIMBI MEDICAL CLINIC,016xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ODINO HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
ODOLE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TANA RIVER,ACTIVE
OFAFA I DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
OGADA CHURCH MEDICAL CLINIC,000xxx,FAITH-BASED COMPREHENSIVE CENTRE,LEVEL 3B,MIGORI,ACTIVE
OGAM DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
OGANDO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OGANGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
OGANGO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
OGEMBO MEDICAL CENTRE,000xxx,MEDICAL CENTRE,LEVEL 3B,KISII,ACTIVE
OGEN HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISUMU,ACTIVE
OGERO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
OGILGEI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
OGONGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
OGONGO SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,HOMA BAY,ACTIVE
OGORALE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
OGORJI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
OGRA MEDICAL CENTRE AND COMMUNITY HOSPITAL,001xxx,NURSING HOME,LEVEL 3A,KISUMU,ACTIVE
OGREEN OPTICS LIMITED,021xxx,EYE CLINIC,LEVEL 2,NAIROBI,ACTIVE
OGWANG BWARE HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
OGWEDHI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
OICHORRO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OJELE MEMORIAL HOSPITAL,000xxx,HOSPITAL LEVEL 4,LEVEL 4,MIGORI,ACTIVE
OJOLA HEALTH CENTRE,GK-xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
OJUNGE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,HOMA BAY,ACTIVE
OJWANDO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OKANA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
OKIKI AMAYO MEMORIAL HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
OKITA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OKITTA NURSING AND MATERNITY HOME,000xxx,NURSING HOME,LEVEL 3A,HOMA BAY,ACTIVE
OKOA COMMUNITY HOSPITAL,019xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
OKOK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OKOOK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
OKWATA COMMUNITY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
OL ARABEL DISPENSARY,GK-xxx,HEALTH CENTRE,LEVEL 3A,BARINGO,ACTIVE
OL JOROOROK CATHOLIC DISPENSARY,000xxx,DISPENSARY,LEVEL 2,NYANDARUA,ACTIVE
OL NJOROWA DISPENSARY,000xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
OL PAJETA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,LAIKIPIA,ACTIVE
OL RONGAI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
OL-MORAN CATHOLIC DISPENSARY,000xxx,DISPENSARY,LEVEL 2,LAIKIPIA,ACTIVE
OLAABANI FAMILY HOSPITAL LTD,023xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
OLAIMUTIA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYANDARUA,ACTIVE
OLANDO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OLANTI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLARE MEDICAL CENTRE,014xxx,MEDICAL CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
OLARE OROK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLASI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
OLASI DISPENSARY - KISUMU,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
OLBOLOSAT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYANDARUA,ACTIVE
OLBUTYO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,BOMET,ACTIVE
OLCHEKUT COMMUNITY BASED CLINIC,008xxx,MEDICAL CLINIC,LEVEL 2,NAROK,ACTIVE
OLCHOBOSEI MEDICAL CENTRE,005xxx,MEDICAL CENTRE,LEVEL 3B,NAROK,ACTIVE
OLCHORO OROIWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLCHORRO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAROK,ACTIVE
OLD MAWINGO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYANDARUA,ACTIVE
OLDANYATI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAROK,ACTIVE
OLDEBES DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
OLDEBESI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
OLDEPE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLDERKESI DISPENSARY,000xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLDONYIRO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ISIOLO,ACTIVE
OLDONYO LASHO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLDONYO NYOKIE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLDONYO OIBOR DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLDONYO SABUK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
OLDONYOROK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLDORKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLE BOYSEN MEDICAL CENTRE,018xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
OLE KIRUI MEDICAL CENTRE,015xxx,MEDICAL CENTRE,LEVEL 3B,KAJIADO,ACTIVE
OLE MPAA HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,KAJIADO,ACTIVE
OLE-NKASURAI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLEKASASI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KAJIADO,ACTIVE
OLELESHUA DISPENSARY (PORTLAND),GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLELUSIE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLENARAU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLENGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
OLENGOLOTO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLENGURUONE MEDICAL DIAGNOSTIC CENTRE,180xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
OLENGURUONE MEDICAL DIAGNOSTIC CENTRE-OLPUSIMORU,021xxx,MEDICAL CLINIC,LEVEL 2,NAROK,ACTIVE
OLENGURUONE SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NAKURU,ACTIVE
OLEPAIPAI LIFECARE LIMITED,023xxx,MEDICAL CENTRE,LEVEL 3B,UASIN GISHU,ACTIVE
OLEPOLOS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLEPOLOS DISPENSARY - NAROK NORTH,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLEREKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLESERE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLETUKAT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLGIRRA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLGULULUI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KAJIADO,ACTIVE
OLGUMI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLIVE HEALTHCARE INTERNATIONAL CLINIC,002xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
OLIVE MEDICAL CLINIC,007xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
OLIVEHILL SURGICAL CENTRE,017xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NYERI,ACTIVE
OLIVELINK HEALTHCARE,003xxx,MATERNITY HOME,LEVEL 3A,NAIROBI,ACTIVE
OLJABET HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,LAIKIPIA,ACTIVE
OLJABET HOSPITAL,014xxx,HOSPITAL LEVEL 4,LEVEL 4,LAIKIPIA,ACTIVE
OLJABET HOSPITAL NYAHURURU TOWN CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,LAIKIPIA,ACTIVE
OLJABET MEDICAL AND NURSING LIMITED,000xxx,NURSING HOME,LEVEL 3A,LAIKIPIA,ACTIVE
OLJORAI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAKURU,ACTIVE
OLKALOU BETHEL MEDICAL CENTRE,018xxx,NURSING HOME,LEVEL 3A,NYANDARUA,ACTIVE
OLKARIA COMMUNITY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
OLKINYEI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLKIRAMATIAN CLINIC SASAL,020xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
OLKIRAMATIAN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLKOKWE HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
OLLA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MANDERA,ACTIVE
OLLA NURSING HOME,017xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
OLLESSOS HILLS MEDICAL CENTRE,019xxx,MEDICAL CLINIC,LEVEL 2,NANDI,ACTIVE
OLMALAIKA TRUST DENTAL CLINIC,018xxx,DENTAL CLINIC,LEVEL 2,NAROK,ACTIVE
OLMEKENYU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAROK,ACTIVE
OLMERUI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLMESUTE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLMORAN HEALTH CENTRE-LAIKIPIA,GK-xxx,HEALTH CENTRE,LEVEL 3A,LAIKIPIA,ACTIVE
OLNGOSWET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
OLO SHAIKI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
OLOIBON MEDICAL CENTRE,002xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
OLOIBOR AJIJIK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOIKA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOILALEI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOIP MEDICAL CLINIC,014xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
OLOIRIEN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOIRIMIRIMI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOKURTO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAROK,ACTIVE
OLOKYIN HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,BOMET,ACTIVE
OLOLCHANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLOLOIPANG\'I DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLOLPIRONITO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAROK,ACTIVE
OLOLULUNGA SUB COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAROK,ACTIVE
OLOOLAKIR DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOOLTEPES DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOOLUA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOOSEOS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOOSIRKON DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLORIKA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLORROPIL CATHOLIC DISPENSARY,020xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLORROPIL DISPENSARY - KAJIADO,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLORTE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLOSHO OIBOR DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLOYIANKALANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLPUSIMORU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLTALET MEDICAL SERVICES,000xxx,MEDICAL CLINIC,LEVEL 2,NAROK,ACTIVE
OLTEPESI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLTIASIKA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLTOWT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MARSABIT,ACTIVE
OLTUKAI DENTAL CLINIC,014xxx,DENTAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
OLTUKAI LODGE STAFF CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
OLTUMUSOI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OLTUROTO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
OLYMPUS MEDICAL CENTRE LIMITED,006xxx,NURSING HOME,LEVEL 3A,SIAYA,ACTIVE
OLYMUS HEALTHCARE CENTER LTD,017xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
OMAN MEDICAL SERVICES LIMITED,024xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
OMBEK HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OMBO BITA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
OMBO KACHIENG\' DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OMBO KOWITI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
OMBOGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OMBOLION DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
OMEGA OPTICIANS LTD,006xxx,EYE CLINIC,LEVEL 2,NAIROBI,ACTIVE
OMEGA OPTICIANS LTD MOMBASA,007xxx,EYE CLINIC,LEVEL 2,MOMBASA,ACTIVE
OMIA DIERE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
OMIRO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OMNICARE MEDICAL,014xxx,NURSING HOME,LEVEL 3A,NAIROBI,INACTIVE
OMOBERA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
OMOGWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
OMOM MEDICAL CLINIC,023xxx,MEDICAL CLINIC,LEVEL 2,NAROK,ACTIVE
OMOREMBE COMMUNITY HOSPITAL LIMITED,017xxx,MEDICAL CLINIC,LEVEL 2,KISII,ACTIVE
OMOSARIA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
OMOYA MEDICAL CENTRE,018xxx,NURSING HOME,LEVEL 3A,HOMA BAY,ACTIVE
OMULINA VISION MEDICAL CENTRE,020xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
OMULLO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
ONCALL WATOTO CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,KIRINYAGA,ACTIVE
ONDATI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
ONDING DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
ONDONG\' DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
ONE A DENTAL & IMPLANT CLINIC,017xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ONE HEALTH LIMITED,015xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
ONE MORE DAY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,LAIKIPIA,ACTIVE
ONE OAK DENTAL STUDIO,014xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ONENO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
ONEWAYWISE HEALTH SERVICES LIMITED,017xxx,MEDICAL CENTRE,LEVEL 3B,MAKUENI,ACTIVE
ONG\'AMO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
ONGADI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
ONGAKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
ONGALO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
ONGATA MEDICAL CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
ONGATA NAADO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
ONGATA RONGAI SUB COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KAJIADO,ACTIVE
ONGATA WARD DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
ONGIELO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,SIAYA,ACTIVE
ONGITO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
ONGO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
ONSARE MEDICAL CLINIC,019xxx,MEDICAL CENTRE,LEVEL 3B,KISII,ACTIVE
ONTILIL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
ONYINJO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
ONYUONGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
OPAPLA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
OPEMBLE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OPEN DOOR MEDICAL CLINIC,019xxx,MEDICAL CLINIC,LEVEL 2,KILIFI,ACTIVE
OPENARMS MEDICAL CLINIC,021xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
OPENCLINIC MEDICAL CENTER,023xxx,MEDICAL CLINIC,LEVEL 2,KISII,ACTIVE
OPENDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
OPIROI HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,SAMBURU,ACTIVE
OPOL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
OPTEX OPTICIANS LIMITED,016xxx,EYE CLINIC,LEVEL 2,NAIROBI,ACTIVE
OPTEX OPTICIANS LIMITED - KISII,006xxx,EYE CLINIC,LEVEL 2,KISII,INACTIVE
OPTEX OPTICIANS LIMITED NYERI,017xxx,EYE CLINIC,LEVEL 2,NYERI,ACTIVE
OPTEX OPTICIANS LTD - BUSIA,007xxx,EYE CLINIC,LEVEL 2,BUSIA,ACTIVE
OPTICA LIMITED,016xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
OPTICS CENTRE LIMITED,017xxx,EYE CLINIC,LEVEL 2,KISUMU,ACTIVE
OPTIDENT DENTAL CARE,008xxx,DENTAL CLINIC,LEVEL 2,EMBU,ACTIVE
OPTIDENT DENTAL CARE LIMITED,019xxx,DENTAL CLINIC,LEVEL 2,EMBU,ACTIVE
OPTIMAL FAMILY LIMITED,008xxx,HOSPITAL LEVEL 4,LEVEL 4,THARAKA NITHI,ACTIVE
OPTIMAL HEALTH LIMITED,002xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
OPTIMAL SERENI CARE MEICAL CENTRE,020xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
OPTIMUM CARE HOSPITAL LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
OPTIMUM CURRENT HEALTH CARE,007xxx,NURSING HOME,LEVEL 3A,NAKURU,ACTIVE
OPTIMUM HILL MEDICAL CENTRE,014xxx,HOSPITAL LEVEL 4,LEVEL 4,BUNGOMA,ACTIVE
OPTIMUM MEDICAL CENTRE KAKAMEGA,004xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
OPTO-MART OPTICIANS EYE CLINIC,006xxx,EYE CLINIC,LEVEL 2,NAROK,ACTIVE
ORAC DENTAL & ASSOCIATES LIMITED,020xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ORACLE HEALTHCARE LIMITED,016xxx,MEDICAL CENTRE,LEVEL 3B,KERICHO,ACTIVE
ORALIS DENTAL CLINICS LTD,023xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
ORAN MEDICAL CLINIC,016xxx,MEDICAL CLINIC,LEVEL 2,LAIKIPIA,ACTIVE
ORBIMICHEAL DENTAL CLINIC,016xxx,DENTAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
OREDHO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OREGO HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
OREGON GROUP HEALTH SERVICES,015xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
OREN HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
ORESI SUB-COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
ORIANG ALWALA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
ORIANG HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
ORIANG\' WEST KANYADWERA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
ORIDI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
ORIRA MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
ORIZON MEDICAL CENTRE,019xxx,MEDICAL CLINIC,LEVEL 2,MIGORI,ACTIVE
ORKOROI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
OROCHE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
OROKWO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
OROLWO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
OROMBE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
OROMODEI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SAMBURU,ACTIVE
ORONGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
OROPOI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
ORTHODOX DISPENSARY RIRUTA,000xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
